Date,MainSleep,Efficiency,Duration,Minutes Asleep,Minutes Awake,Awakenings,Restless Count,Restless Duration,Time in Bed
5/1/2019,TRUE,93,32520000,503,38,0,30,39,542
5/2/2019,TRUE,91,26640000,402,41,2,28,39,444
5/3/2019,TRUE,91,26760000,406,40,3,18,36,446
5/4/2019,TRUE,89,31440000,467,56,3,34,54,524
5/5/2019,TRUE,90,33360000,501,55,3,29,49,556
5/6/2019,TRUE,88,29640000,436,58,3,36,52,494
5/7/2019,TRUE,88,23880000,349,48,2,26,46,398
5/8/2019,TRUE,92,35040000,540,44,3,24,41,584
5/9/2019,TRUE,93,28020000,436,31,2,21,29,467
5/10/2019,TRUE,88,26520000,389,51,5,28,47,442
5/11/2019,TRUE,88,30120000,441,58,1,34,60,502
,,,,,,,,,
