Date,Activity Calories,Calories BMR,Calories Out,Marginal Calories,Elevation,Sedentary Minutes,Lightly Active Minutes,Fairly Active Minutes,Very Active Minutes,Floors,Steps
5/1/2019,887,1806,2616,495,230,716,160,9,13,23,6968
5/2/2019,1618,1806,3347,1087,380,750,144,20,82,38,8361
5/3/2019,1180,1806,2981,744,290,792,143,18,41,29,7753
5/4/2019,940,1806,2670,565,270,741,161,8,6,27,7498
5/5/2019,1086,1806,2835,756,200,727,74,17,66,20,5763
5/6/2019,868,1806,2642,494,290,775,146,11,14,29,6711
5/7/2019,1018,1806,2785,588,320,843,189,7,3,32,7838
5/8/2019,743,1806,2565,464,430,728,94,10,24,43,5888
5/9/2019,1451,1806,3186,960,290,745,130,32,66,29,7782
5/10/2019,1685,1806,3323,1071,500,714,185,32,67,50,11978
5/11/2019,1115,1806,2919,765,200,775,96,6,61,20,5649
05/12/2019,978,1806,2758,574,160,760,168,7,14,16,4330
